Hero Image,Details,Description,in en,translated,name,Excursion Link
n,y,y,y,y,"Hoogtepunten Portland, Fort Williams En Vuurtoren (Rolstoeltoegankelijk)",https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/portland-highlights-fort-williams-lighthouse-wheelchair-accessible.html
n,y,y,y,y,Hoogtepunten Van Corner Brook,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/corner-brook-highlights.html
n,y,y,y,y,Hoogtepunten Van Portland Highlights En Victoria Mansion,https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/portland-highlights-victoria-mansion.html
n,y,y,y,y,Hoogtepunten Van Portland En Schoeneravontuur,https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/portland-highlights-schooner-adventure.html
n,y,y,n,y,Hoogtepunten Van Reykjavik,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/reykjavik-highlights.html
n,y,y,y,y,Hoogtepunten Van Sydney,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/sydney-highlights.html
n,y,y,y,y,"Hop-On, Hop-Off Baddeck",https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/hop-on-hop-off-baddeck.html
y,y,y,y,y,"Hop-On, Hop-Off Halifax Met Toegang Tot Het Maritime Museum",https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/hop-on-hop-off-halifax-with-admission-to-the-maritime-museum.html
n,y,y,n,y,IJsland Voor De Perfecte Foto's,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/picture-perfect-iceland.html
y,y,y,y,y,"Iconische Steden Van Nova Scotia: Peggy's Cove, Lunenburg, Mahone Bay",https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/iconic-towns-of-nova-scotia-peggy-s-cove-lunenburg-mahone-bay.html
n,y,y,y,y,In De Voetstappen Van Kapitein Cook,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/in-the-footsteps-of-captain-cook.html
n,y,y,n,y,In Het Onbekende Blauwe Water: Snorkelen In Kloven,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/into-the-blue-fissure-snorkeling.html
n,y,y,y,y,In- En Uitstappen In Halifax,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/hop-on-hop-off-halifax.html
y,y,y,y,y,Int- En Uitstappen Waar U Wilt In New York,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/hop-on-hop-off-new-york.html
n,y,y,n,n,"Jaguar Bus, Bike, Cenote, Paddle & Beach BBQ",https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/jaguar-bus-bike-cenote-paddle-beach-bbq.html
n,y,y,y,y,Kajakken Bij De Manatee Cove,https://www.hollandamerica.com/nl_NL/shore-excursions/1010060/kayaking-at-manatee-cove.html
n,y,y,y,n,Kayak Frenchman Bay,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/kayak-frenchman-bay.html
